NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION NO SITIOS,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO,TELEFONO,ULTIMA REVISION,TIPO DE LUGAR,LATITUD,LONGITUD
Espacio en Blanco (Frecuencias que ayudan),Bogotá,Bogotá D.C.,"Cl. 48 #6 - 14, Chapinero, Bogotá",SIN DATO,4:00 PM,12:00 PM,SIN DATO,NO,SIN DATO,3022040758,agosto 14,PRIVADO,4.634628,-74.063323
FUNDACIÓN CATALINA MUÑOZ,Bogotá,Bogotá D.C.,DIAGONAL 48#19-16,SIN DATO,8:00 AM,5:00 PM,SIN DATO,NO,SIN DATO,3167446507,agosto 14,FUNDACIÓN,4.636775,-74.071744
FUNDACIÓN EL COMBO,Bogotá,Bogotá D.C.,CARRERA 98 # 156C-10,SIN DATO,SIN DATO,8:00am-5:00pm hasta el lunes 17 de agosto · Cambian turnos cada hora,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,FUNDACIÓN,4.755612,-74.085016
FUNDACIÓN TRANSFORMANDO VIDAS CRA 104,Bogotá,Bogotá D.C.,Cra 104 # 16-28,SIN DATO,SIN DATO,3PM,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,FUNDACIÓN,4.671401,-74.151562
FUNDACIÓN TRANSFORMANDO VIDAS CRA 80 - JAC CALARCÁ,Bogotá,Bogotá D.C.,CARRERA 80A #49-08SUR,SIN DATO,SIN DATO,hasta las 10:00 pm,SIN DATO,SI,SIN DATO,3228567540,agosto 14,FUNDACIÓN,4.618697,-74.170425
GALERÍA ABORIGEN,Bogotá,Bogotá D.C.,CARRERA 6A # 116-17,SIN DATO,SIN DATO,21:00,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,4.69369,-74.032104
Kennedy barrio Calarcá JAC Pastranita,Bogotá,Bogotá D.C.,Cra 80a #49-08,Ellos harán recepción de insumos hasta el día DOMINGO De 10am a 7pm aproximadamente Hacen falta donaciones en: · ASEO: · *Toallas de cuerpo · *Shampoo y peinillas · *Desodorantes · *Pañales para…,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SEDE COMUNITARIA,4.618697,-74.170425
La campiña SUBA,Bogotá,Bogotá D.C.,Calle 140B # 96-60,Van a Buenaventura,SIN DATO,21:00,SIN DATO,SI,SIN DATO,SIN DATO,agosto 14,SIN DATO,4.74041,-74.089886
MATCHACHÁ Y AMARÍA HAIRSPA,Bogotá,Bogotá D.C.,CALLE 80#9-25,SIN DATO,8:00,12:00,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,4.663223,-74.052542
MINUTO DE DIOS,Bogotá,Bogotá D.C.,Carrera 73A n.º 81B – 70,SIN DATO,8:00 AM,4:00 PM,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,4.69706,-74.092225
PALACIO DE LOS DEPORTES,Bogotá,Bogotá D.C.,calle 63 #59A-06,"Se necesitan MUCHAS donaciones de todo tipo, para comunidades indígenas del Chocó. se reciben hasta las 10 pm",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,4.656045,-74.086044
PARKWAY,Bogotá,Bogotá D.C.,Cra 24#39-29,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,PARQUE,4.580936,-74.120991
PARQUE DE LOS HIPPIES,Bogotá,Bogotá D.C.,Ac 63 #59A - 06,Aseo · - Papel higiénico · - toallas higiénicas · - Desodorante · - Shampo en sobre · - Pañales · - pañitos · - jabón de cuerpo · Alimentos no perecederos y se está recibiendo comida de perritos y…,SIN DATO,A PARTIR DE LA 1,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,PARQUE,4.656045,-74.086044
PARQUE LA COLINA,Bogotá,Bogotá D.C.,Cra. 58d #146-51,SIN DATO,SIN DATO,hasta las 9:00 pm,SIN DATO,SI,SIN DATO,SIN DATO,agosto 14,CENTRO COMERCIAL,4.732516,-74.065487
POWER THE MOV,Bogotá,Bogotá D.C.,CRA 7#61-38,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3192966242,agosto 14,SIN DATO,4.646584,-74.060268
PUNTO CAMILO TRIANA,Bogotá,Bogotá D.C.,EDS TERPEL Av Boyacá 77a - 11,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,,
SOS JUNTOS POR EL CHOCÓ Calle 127c,Bogotá,Bogotá D.C.,Calle 127c #49-05,SIN DATO,8:00 AM,6:00 PM,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,4.711231,-74.056986
SOS JUNTOS POR EL CHOCÓ Cra 22,Bogotá,Bogotá D.C.,Cra 22 #23-46,SIN DATO,8:00 AM,6:00 PM,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO,,
