zz,pp,censo,n_mesas,cam_turnout,briceno,uscategui,cote,mosquera,lorduy,gordillo,juvinao,toro,bleidy,borda,pacto_list,cd,verde,liberal,salvacion,sen_pacto,sen_cd,sen_alianza,sen_ahora,sen_salvacion,sen_liberal,pres_turnout,cepeda,abelardo,m_cam,m_pres
01,57,4423,14,3348,675,52,19,19,34,9,96,45,25,84,383,1287,317,114,305,360,1200,404,348,356,174,3519,531,1859,14,12
01,58,2702,9,2357,680,62,10,11,21,10,78,46,10,43,165,1163,228,67,142,152,1147,273,216,181,93,5368,509,3092,9,17
01,59,4330,13,3721,708,70,22,20,22,20,114,51,9,81,544,1358,362,95,324,520,1245,499,350,388,159,8524,1544,4533,13,26
01,60,3918,12,3292,627,52,32,22,20,9,108,44,9,93,459,1206,341,78,334,436,1088,421,344,374,141,7499,1406,4087,12,23
01,61,840,3,718,109,11,2,4,5,6,20,10,5,12,114,225,75,18,55,108,190,95,70,73,35,1844,419,929,3,6
01,62,624,2,509,66,7,3,4,6,0,12,9,2,12,109,132,47,8,45,112,117,76,42,46,24,1402,391,629,2,5
02,01,21025,63,5316,1375,178,25,39,30,24,130,39,19,116,568,2646,312,136,425,555,2660,450,331,559,198,6026,980,3743,63,53
02,02,12752,39,4293,1280,140,21,17,31,16,114,31,15,77,309,2429,248,116,231,294,2481,298,293,363,147,4543,496,2698,39,34
02,03,12159,37,8125,2805,206,15,31,52,17,217,72,7,100,332,4846,448,262,330,300,5239,476,661,546,349,8508,570,4831,37,32
02,04,9153,28,5482,1610,119,16,46,25,21,197,55,15,105,439,2876,390,192,295,421,2977,422,470,410,250,5777,688,3261,28,24
02,05,9218,28,5940,1684,115,24,32,41,11,182,81,21,82,414,2997,411,229,246,377,3171,516,599,384,273,6850,785,3548,28,26
02,06,6551,20,3393,557,60,13,26,81,14,70,46,61,64,477,1191,269,137,210,461,1113,347,272,261,258,3943,934,1910,20,17
02,07,7619,23,4002,695,74,16,31,39,9,103,62,21,67,914,1373,354,114,187,893,1382,445,366,253,184,4615,1496,1868,23,20
02,08,3992,12,1535,218,12,8,5,7,9,30,26,10,20,387,411,151,50,50,397,384,226,136,66,86,1862,741,595,12,10
02,09,5930,18,2419,287,35,15,13,12,8,38,21,20,62,605,721,199,86,170,608,675,289,168,208,132,2843,973,1245,18,15
02,10,7522,23,4156,685,68,22,19,31,13,169,78,24,77,837,1398,443,149,256,822,1349,500,432,313,222,4517,1277,1846,23,20
02,11,7074,22,3324,405,37,18,20,16,12,100,71,22,56,907,828,372,112,200,892,792,481,252,224,207,3777,1382,1398,22,18
02,12,4758,15,2208,267,26,11,16,14,10,53,33,17,49,645,614,229,80,129,641,594,281,148,157,115,2551,957,983,15,13
02,13,6379,20,2915,107,13,20,34,8,8,29,22,6,42,1208,397,191,124,141,1233,354,303,179,121,181,4230,2256,1106,20,19
02,14,5228,16,2655,448,39,13,8,20,7,82,52,19,29,611,798,287,95,115,620,771,364,242,153,156,2954,1000,1116,16,14
02,15,6972,21,3444,302,21,22,16,20,6,105,80,22,44,1074,664,405,100,154,1082,571,522,310,171,194,3883,1699,1110,21,18
02,16,2866,9,1926,541,59,8,6,29,5,53,17,17,30,112,1011,123,65,108,109,1005,174,147,151,105,2008,206,1137,9,8
02,17,3439,11,2462,805,46,10,26,30,11,52,32,11,28,110,1443,133,67,102,98,1511,164,194,150,107,2557,172,1472,11,9
02,18,983,3,486,24,1,3,3,0,0,7,10,2,4,221,52,43,19,19,226,48,64,20,24,32,621,355,150,3,3
02,19,713,3,277,12,2,0,2,5,2,1,2,1,2,101,52,17,9,13,111,40,26,10,15,16,380,229,87,3,2
02,20,5578,17,3490,537,42,11,20,22,9,112,138,40,44,647,966,444,156,130,613,930,550,435,150,241,4739,1380,1576,17,17
02,21,3954,12,2650,224,24,9,7,29,9,88,92,20,26,714,495,355,78,94,726,438,420,290,107,169,3849,1632,1087,12,14
02,22,2208,7,1360,140,22,9,15,13,4,44,44,9,20,379,308,174,44,60,383,258,225,133,77,83,1868,758,599,7,7
02,23,1528,5,961,184,12,5,7,12,1,22,21,3,17,122,374,81,39,51,105,358,91,107,81,68,1142,216,547,5,5
02,24,4073,13,2409,168,22,11,40,34,8,58,44,37,35,760,435,250,85,99,711,314,390,248,118,170,3434,1574,928,13,13
02,25,4547,14,2984,375,33,5,20,16,6,122,128,21,31,693,685,467,107,77,662,603,555,346,132,225,4497,1616,1292,14,16
02,26,3659,11,2875,914,60,9,23,16,7,80,46,13,31,125,1574,189,104,101,117,1708,203,270,171,147,4062,263,2194,11,13
02,27,909,3,689,159,8,12,9,4,3,26,7,3,12,73,312,55,21,36,69,298,63,69,51,32,1138,188,560,3,4
02,28,2155,7,1561,469,31,3,12,14,3,34,17,7,20,104,819,96,42,77,98,825,126,148,119,80,1601,158,860,7,6
02,29,732,3,388,27,4,3,7,14,3,2,5,4,5,121,93,27,17,21,133,71,43,27,19,17,644,287,217,3,3
02,30,1939,6,1383,355,33,6,12,20,7,38,24,9,17,84,707,93,43,72,78,698,121,124,114,73,2476,222,1425,6,9
02,31,2303,7,1470,155,16,3,11,12,1,34,37,7,18,439,306,163,37,55,403,276,224,162,77,67,2748,1131,761,7,10
02,32,1771,6,1463,360,24,7,1,10,10,50,27,5,12,147,616,136,49,45,125,664,166,194,79,68,3198,490,1424,6,10
02,33,187,1,139,11,1,0,0,3,0,1,6,0,4,46,22,12,4,7,46,23,17,9,8,11,222,101,65,1,1
02,34,121,1,105,9,0,0,2,0,1,1,3,0,3,30,20,11,1,11,29,21,18,12,12,4,254,77,105,1,1
02,35,182,1,121,5,4,0,0,1,0,2,2,0,1,46,21,9,3,2,53,26,12,3,2,1,173,80,55,1,1
02,36,142,1,95,0,1,1,0,0,0,0,6,0,1,45,11,10,2,1,42,13,9,8,2,2,266,141,76,1,1
02,37,978,3,851,189,15,6,4,7,3,33,8,5,22,82,351,73,29,65,76,333,94,80,87,48,1927,229,1040,3,6
03,01,6910,21,2952,256,19,8,16,10,8,90,58,19,47,1057,554,325,84,121,1047,486,430,268,129,173,4682,2249,1292,21,22
03,02,5313,16,2148,92,8,15,19,7,3,28,13,25,27,893,292,170,89,85,917,260,248,126,73,153,2787,1564,672,16,15
03,03,4621,14,1706,139,16,5,7,7,5,48,10,15,18,680,310,139,56,56,680,280,215,138,82,111,2095,1067,552,14,12
03,04,8403,26,2838,183,18,19,24,11,15,39,21,31,42,1059,522,199,144,136,1110,491,323,119,153,220,3626,1901,1083,26,22
03,05,4417,14,1152,76,19,9,12,5,9,13,3,4,26,390,288,67,27,69,426,278,88,37,54,57,1621,784,609,14,12
03,06,8487,26,3447,64,19,13,26,10,6,16,7,35,72,1513,331,192,347,132,1543,271,324,162,115,402,4657,3020,849,26,24
03,07,3683,12,1498,72,5,14,20,4,5,10,12,34,18,583,208,94,112,53,605,166,136,97,59,131,2045,1112,497,12,11
03,08,4637,14,1574,75,8,14,11,7,7,20,4,22,19,565,303,91,67,69,571,314,180,73,66,92,2314,1105,810,14,13
03,09,8124,25,2782,108,10,22,23,11,13,27,11,26,38,1108,429,173,135,124,1179,387,285,127,121,183,3803,2046,1021,25,22
03,10,5350,17,1864,43,10,7,28,4,6,13,14,55,24,762,188,103,156,64,800,168,187,83,59,172,2694,1686,495,17,15
03,11,5909,18,2741,51,18,28,29,2,7,23,7,70,33,1111,336,143,238,108,1145,271,240,122,97,283,3554,2072,758,18,16
03,12,6125,19,1103,58,7,5,9,9,4,8,1,2,31,402,193,60,29,58,422,200,114,46,62,52,1794,978,546,19,14
03,13,3244,10,1479,106,13,14,15,3,7,31,23,5,17,508,277,134,49,74,485,250,179,143,97,95,1711,794,499,10,9
03,14,4718,15,2027,162,20,15,18,16,6,24,17,43,29,698,452,138,116,108,704,436,227,86,116,145,2390,1074,858,15,13
